HEX_ID,WK_MORNING,WK_AFTERNOON,WKND_HOL
H0890,25608,36077,0
H0891,4327,3659,0
H0892,4462,6112,0
H0893,0,0,0
H0894,0,0,0
H0895,0,0,0
H0896,0,0,0
H0897,0,0,0
H0898,0,0,0
H0899,218,805,0
H0900,16315,27703,0
H0901,109717,40280,0
H0902,8978,29681,0
H0903,0,0,0
H0904,0,0,0
H0905,551,8439,0
H0906,0,0,0
H0907,5853,5505,0
H0908,69928,56870,0
H0909,0,0,0
H0910,24066,20231,0
H0911,0,0,0
H0912,0,0,0
H0913,0,0,0
H0914,0,0,0
H0915,0,0,0
H0916,0,0,0
H0917,122,293,0
H0918,0,0,0
H0919,89342,25214,0
H0920,70503,31395,0
H0921,1636,11082,0
H0922,0,0,0
H0923,0,0,0
H0924,0,0,0
H0925,9416,94974,0
H0926,34707,43124,0
H0927,22589,21121,0
H0928,16026,9893,0
H0929,0,0,0
H0930,0,0,0
H0931,0,0,0
H0932,0,0,0
H0933,0,0,0
H0934,0,0,0
H0935,0,0,0
H0936,0,0,0
H0937,350,750,0
H0938,9571,7492,0
H0939,101909,121874,0
H0940,22973,20804,0
H0941,2884,14115,0
H0942,0,0,0
H0943,0,0,0
H0944,4076,5084,0
H0945,12702,18799,0
H0946,35180,25243,0
H0947,8758,3671,0
H0948,30073,24130,0
H0949,3944,28510,0
H0950,0,0,0
H0951,0,0,0
H0952,0,0,0
H0953,0,0,0
H0954,0,0,0
H0955,0,0,0
H0956,15,298,0
H0957,0,0,0
H0958,23424,23828,0
H0959,59953,28522,0
H0960,6564,18856,0
H0961,2,694,0
H0962,0,0,0
H0963,0,0,0
H0964,29123,13099,0
H0965,39353,61851,0
H0966,4335,4853,0
H0967,6043,3681,0
H0968,27591,22749,0
H0969,0,0,0
H0970,0,0,0
H0971,0,0,0
H0972,0,0,0
H0973,0,0,0
H0974,0,0,0
H0975,9,238,0
H0976,19,709,0
H0977,0,0,0
H0978,11266,12121,0
H0979,5155,35541,0
H0980,6299,21768,0
H0981,0,0,0
H0982,46767,27064,0
H0983,17071,16386,0
H0984,33053,29490,0
H0985,1699,8433,0
H0986,2161,3522,0
H0987,401,848,0
H0988,0,0,0
H0989,0,0,0
H0990,0,0,0
H0991,0,0,0
H0992,0,0,0
H0993,28,232,0
H0994,0,0,0
H0995,0,0,0
H0996,0,0,0
H0997,29435,22969,0
H0998,170,3352,0
H0999,908,5382,0
H1000,0,0,0
H1001,0,0,0
H1002,13955,6875,0
H1003,68928,75992,0
H1004,1978,3220,0
H1005,0,0,0
H1006,18848,22648,0
H1007,0,0,0
H1008,0,0,0
H1009,0,0,0
H1010,0,0,0
H1011,0,0,0
H1012,0,0,0
H1013,336,104,0
H1014,0,0,0
H1015,0,0,0
H1016,1017,3989,0
H1017,58196,22376,0
H1018,3944,30268,0
H1019,0,0,0
H1020,0,0,0
H1021,11525,26584,0
H1022,37317,102366,0
H1023,8991,12595,0
H1024,10615,18350,0
H1025,0,0,0
H1026,582,1904,0
H1027,58,139,0
H1028,0,0,0
H1029,0,0,0
H1030,0,0,0
H1031,12,48,0
H1032,27258,20325,0
H1033,0,0,0
H1034,0,0,0
H1035,0,0,0
H1036,93408,108222,0
H1037,10253,10066,0
H1038,0,0,0
H1039,0,0,0
H1040,48263,95531,0
H1041,54948,34770,0
H1042,43885,41727,0
H1043,431,892,0
H1044,0,0,0
H1045,2903,5987,0
H1046,397,603,0
H1047,0,0,0
H1048,0,0,0
H1049,0,0,0
H1050,0,0,0
H1051,71,108,0
H1052,6858,13373,0
H1053,668,3484,0
H1054,0,0,0
H1055,3050,7441,0
H1056,58379,48136,0
H1057,0,0,0
H1058,0,0,0
H1059,4,775,0
H1060,29762,22181,0
H1061,78962,70669,0
H1062,22531,25506,0
H1063,7966,17005,0
H1064,12191,19279,0
H1065,0,0,0
H1066,15,71,0
H1067,0,0,0
H1068,522,1965,0
H1069,0,0,0
H1070,79,1711,0
H1071,0,0,0
H1072,95,562,0
H1073,7382,7378,0
H1074,23638,10210,0
H1075,39352,19089,0
H1076,594,2657,0
H1077,0,0,0
H1078,0,0,0
H1079,0,0,0
H1080,0,0,0
H1081,40445,21079,0
H1082,86828,100573,0
H1083,9086,12141,0
H1084,5542,11414,0
H1085,28367,27847,0
H1086,0,0,0
H1087,0,0,0
H1088,16471,9202,0
H1089,9519,8131,0
H1090,8327,28977,0
H1091,0,0,0
H1092,2375,2817,0
H1093,0,0,0
H1094,71293,65026,0
H1095,34160,57358,0
H1096,33694,11093,0
H1097,0,0,0
H1098,0,0,0
H1099,0,0,0
H1100,0,0,0
H1101,0,0,0
H1102,482,1514,0
H1103,13755,5148,0
H1104,23858,26984,0
H1105,49221,152831,0
H1106,9629,9577,0
H1107,0,0,0
H1108,333,738,0
H1109,13546,21039,0
H1110,7954,10591,0
H1111,6936,4498,0
H1112,210,53,0
H1113,88,153,0
H1114,12853,9485,0
H1115,27033,18232,0
H1116,47436,25562,0
H1117,61645,19150,0
H1118,640,1130,0
H1119,0,0,0
H1120,0,0,0
H1121,0,0,0
H1122,0,0,0
H1123,0,0,0
H1124,0,0,0
H1125,25550,29965,0
H1126,33716,40728,0
H1127,2221,15142,0
H1128,12107,22545,0
H1129,5281,12552,0
H1130,2900,5732,0
H1131,0,0,0
H1132,0,0,0
H1133,35359,36448,0
H1134,16832,10466,0
H1135,3939,2744,0
H1136,0,0,0
H1137,130528,188864,0
H1138,127253,171772,0
H1139,21440,12597,0
H1140,458,232,0
H1141,424,899,0
H1142,0,0,0
H1143,0,0,0
H1144,0,0,0
H1145,0,0,0
H1146,4116,9874,0
H1147,33819,47409,0
H1148,12812,15010,0
H1149,2308,20447,0
H1150,15534,17944,0
H1151,12020,12457,0
H1152,13971,21717,0
H1153,30589,28056,0
H1154,12037,10890,0
H1155,51575,27674,0
H1156,10757,8515,0
H1157,0,0,0
H1158,3487,1173,0
H1159,28026,30583,0
H1160,70956,32041,0
H1161,0,0,0
H1162,3456,1599,0
H1163,0,0,0
H1164,0,0,0
H1165,0,0,0
H1166,0,0,0
H1167,22787,36056,0
H1168,17184,40329,0
H1169,14497,68382,0
H1170,24233,19564,0
H1171,20206,35820,0
H1172,12811,26106,0
H1173,4824,10322,0
H1174,36679,24982,0
H1175,44176,18334,0
