HEX_ID,WK_MORNING,WK_AFTERNOON,WKND_HOL,I_WM,I_WM_p,I_WA,I_WA_p,I_WK,I_WK_p,Gi_WM_z,Gi_WM_p,Gi_WA_z,Gi_WA_p,Gi_WK_z,Gi_WK_p,mk_tau,mk_p,EHSA
H1564,74272,66016,0,2.197327413420858,0.02988180511268998,0.4255285312330381,0.5761903339918579,NA,NA,2.171653543315157,0.02988180511268994,0.5589580738571314,0.5761903339918579,NA,NA,-1,1,Sporadic_Hotspot
H1565,31765,43859,0,1.3626266079719334,5.392998938038579e-5,1.3241387054581861,0.003871643573228116,NA,NA,4.0379080209328695,5.392998938038599e-5,2.8884347408352595,0.0038716435732281205,NA,NA,-1,1,Sporadic_Hotspot
H1566,99826,39247,0,5.216499144712699,2.2946591034530956e-4,1.0149966892582387,0.010131244852163285,NA,NA,3.684151307985077,2.294659103453092e-4,2.5713173248885344,0.0101312448521633,NA,NA,-1,1,Sporadic_Hotspot
H1567,0,0,0,-0.34308407625644655,0.04182491311104023,-0.19180077779279422,0.19436202249313245,NA,NA,2.0352580667560494,0.04182491311104023,1.2977826812096378,0.19436202249313245,NA,NA,-1,1,Sporadic_Hotspot
H1568,50131,33319,0,0.6731084039379064,0.28434296299272643,0.2060964417164791,0.5096137948748332,NA,NA,1.0706141398370164,0.2843429629927265,0.6594391718060769,0.5096137948748332,NA,NA,-1,1,Not_Significant
H1569,0,0,0,0.17077520189103015,0.3106492228753715,0.1312403111890101,0.37412041965515186,NA,NA,-1.0138607071981673,0.3106492228753717,-0.8887816871223535,0.3741204196551518,NA,NA,1,1,Not_Significant
H1570,0,0,0,0.17077520189103015,0.3548175361964155,0.1312403111890101,0.4172888828283537,NA,NA,-0.9252852749300453,0.3548175361964156,-0.8111337207203317,0.41728888282835347,NA,NA,1,1,Not_Significant
H1571,0,0,0,0.17077520189103015,0.5587160933401475,0.1312403111890101,0.6082244294829044,NA,NA,-0.5847496065156478,0.5587160933401476,-0.5126096101104027,0.6082244294829042,NA,NA,1,1,Not_Significant
H1572,0,0,0,0.09909355749125383,0.6775388207821705,0.09749848947482856,0.6407804074777221,NA,NA,-0.415823965511633,0.6775388207821705,-0.4666079368655105,0.6407804074777219,NA,NA,-1,1,Not_Significant
H1573,25859,17903,0,0.45926044150753226,0.059159346505723076,0.06720025669781884,0.5007145438097873,NA,NA,1.8870072798251127,0.059159346505723125,0.673365889546681,0.5007145438097875,NA,NA,-1,1,Not_Significant
H1574,55818,22773,0,3.0621686354942246,2.1039056983736326e-5,0.3896083320885306,0.01975917881586067,NA,NA,4.253568467160893,2.1039056983736326e-5,2.3308896568926647,0.019759178815860694,NA,NA,-1,1,Sporadic_Hotspot
H1575,15113,9007,0,0.2033076152696158,0.0049043957516714115,-0.06252553727601791,0.006995055908739814,NA,NA,2.8132470349175343,0.0049043957516714115,2.6970795432246435,0.006995055908739814,NA,NA,-1,1,Sporadic_Hotspot
H1576,51878,76175,0,4.970754940877639,4.015873602410517e-14,7.140358725836543,2.8686793779220457e-15,NA,NA,7.560479116453701,4.01587360241049e-14,7.8964897065221775,2.8686793779220864e-15,NA,NA,1,1,Sporadic_Hotspot
H1577,38206,18859,0,1.1750924664304143,0.00755359862428772,0.1315312623446454,0.24455030872257993,NA,NA,2.6713981741935235,0.007553598624287739,1.163688408230229,0.24455030872258007,NA,NA,-1,1,Sporadic_Hotspot
H1578,63086,33262,0,1.3984044335534915,0.09377845402075113,0.2935665338008347,0.34656769581130087,NA,NA,1.6757944887920435,0.09377845402075113,0.9412676902443807,0.346567695811301,NA,NA,-1,1,Not_Significant
H1579,0,0,0,-0.023011191224274734,0.8918041483273578,0.034676868379183406,0.8140737915954743,NA,NA,0.13602167210795732,0.8918041483273578,-0.2351738628145179,0.8140737915954741,NA,NA,-1,1,Not_Significant
H1580,0,0,0,0.17077520189103015,0.5587160933401475,0.1312403111890101,0.6082244294829044,NA,NA,-0.5847496065156478,0.5587160933401476,-0.5126096101104027,0.6082244294829042,NA,NA,1,1,Not_Significant
H1581,0,0,0,0.17077520189103015,0.4737730735094146,0.1312403111890101,0.5300185518190873,NA,NA,-0.7163535424379491,0.47377307350941483,-0.6279776950657879,0.5300185518190872,NA,NA,1,1,Not_Significant
H1582,0,0,0,0.17077520189103015,0.3548175361964155,0.1312403111890101,0.4172888828283537,NA,NA,-0.9252852749300453,0.3548175361964156,-0.8111337207203317,0.41728888282835347,NA,NA,1,1,Not_Significant
H1583,0,0,0,-0.07534379681137177,0.6836127333433117,0.006037678223016625,0.9699158276034022,NA,NA,0.40753821395956086,0.6836127333433119,-0.037713856956833144,0.969915827603402,NA,NA,-1,1,Not_Significant
H1584,60274,32629,0,2.309167481989714,0.003484649276582349,0.3935913580888572,0.1942958781569817,NA,NA,2.921397490604726,0.003484649276582349,1.2979751387287908,0.1942958781569817,NA,NA,-1,1,Sporadic_Hotspot
H1585,7878,12808,0,-0.12088573704532239,0.004943564330859144,0.0692029860812208,0.018510697813935648,NA,NA,2.8106883581766584,0.004943564330859122,2.3552409648118293,0.018510697813935648,NA,NA,-1,1,Sporadic_Hotspot
H1586,89276,81267,0,4.906420276855344,8.632786403093778e-5,6.366628634054597,6.363668418172001e-11,NA,NA,3.926117869847993,8.632786403093748e-5,6.534936149563127,6.363668418172001e-11,NA,NA,1,1,Sporadic_Hotspot
H1587,76379,72451,0,5.881433655365303,1.884365538821329e-8,5.288151550116006,5.635535169979826e-10,NA,NA,5.622295516878375,1.884365538821319e-8,6.200300787623018,5.635535169979794e-10,NA,NA,1,1,Sporadic_Hotspot
H1588,7764,4107,0,-0.11016106965670315,0.013990271777814652,-0.12574053643516503,0.16687540225330094,NA,NA,2.4575130754162413,0.013990271777814652,1.3823136966793754,0.16687540225330103,NA,NA,-1,1,Sporadic_Hotspot
H1589,21883,13844,0,0.2690616555758145,0.1351228584818025,0.011911628015416302,0.7851265979983788,NA,NA,1.4942018911237969,0.1351228584818026,0.27264437423090576,0.785126597998379,NA,NA,-1,1,Not_Significant
H1590,0,0,0,0.17077520189103015,0.4737730735094146,0.1312403111890101,0.5300185518190873,NA,NA,-0.7163535424379491,0.47377307350941483,-0.6279776950657879,0.5300185518190872,NA,NA,1,1,Not_Significant
H1591,0,0,0,0.17077520189103015,0.5587160933401475,0.1312403111890101,0.6082244294829044,NA,NA,-0.5847496065156478,0.5587160933401476,-0.5126096101104027,0.6082244294829042,NA,NA,1,1,Not_Significant
H1592,0,0,0,0.17077520189103015,0.3106492228753715,0.1312403111890101,0.37412041965515186,NA,NA,-1.0138607071981673,0.3106492228753717,-0.8887816871223535,0.3741204196551518,NA,NA,1,1,Not_Significant
H1593,36946,24486,0,0.17934268740008746,0.6684608408083903,-0.021481480920102446,0.9108609677351354,NA,NA,0.4282613691464156,0.6684608408083905,-0.11195262800006037,0.9108609677351354,NA,NA,-1,1,Not_Significant
H1594,66408,67041,0,1.1565730800307186,0.19208054671157115,0.5135322437898671,0.5080247965803,NA,NA,1.3044489731455837,0.19208054671157138,0.661916406465904,0.5080247965803,NA,NA,-1,1,Not_Significant
H1595,14255,39681,0,0.12623016540830398,0.03122602029544347,0.7496762467999549,0.061329118332670886,NA,NA,2.1541804895684393,0.03122602029544354,1.8711151773892436,0.06132911833267084,NA,NA,-1,1,Sporadic_Hotspot
H1596,154988,348341,0,11.952192353223825,1.5668857821651815e-7,16.57458247192593,2.238118877544489e-4,NA,NA,5.244521331177282,1.5668857821651815e-7,3.690502046918384,2.238118877544489e-4,NA,NA,-1,1,Sporadic_Hotspot
H1597,19199,6707,0,0.4341287797512339,0.0015745973914955188,-0.12141622749266359,0.027257169903722768,NA,NA,3.1605718969016743,0.0015745973914955214,2.207815030000825,0.027257169903722768,NA,NA,-1,1,Sporadic_Hotspot
H1598,42981,16170,0,1.2249323396255245,0.01754868798101215,0.22822209899434995,0.002629762670291751,NA,NA,2.3750055151706997,0.01754868798101215,3.007996383965993,0.002629762670291746,NA,NA,1,1,Sporadic_Hotspot
H1599,0,0,0,0.07918856749106067,0.7010614633132027,0.08561207285094016,0.6360180262069832,NA,NA,-0.38388799662780515,0.7010614633132027,-0.4732735554328706,0.6360180262069831,NA,NA,-1,1,Not_Significant
H1600,0,0,0,0.17077520189103015,0.3106492228753715,0.1312403111890101,0.37412041965515186,NA,NA,-1.0138607071981673,0.3106492228753717,-0.8887816871223535,0.3741204196551518,NA,NA,1,1,Not_Significant
H1601,0,0,0,0.17077520189103015,0.4737730735094146,0.1312403111890101,0.5300185518190873,NA,NA,-0.7163535424379491,0.47377307350941483,-0.6279776950657879,0.5300185518190872,NA,NA,1,1,Not_Significant
H1602,94,330,0,0.012903638905102243,0.9493951054829325,0.04260306008260426,0.8078575225770929,NA,NA,-0.06346641094682576,0.9493951054829324,-0.24319089156104684,0.8078575225770929,NA,NA,-1,1,Not_Significant
H1603,1832,1184,0,-0.25540687123843503,0.06686925103594714,-0.15125550629652387,0.24973449029742253,NA,NA,1.8325518045499867,0.06686925103594714,1.1509945193129218,0.24973449029742253,NA,NA,-1,1,Not_Significant
H1604,13638,29530,0,0.05073909189630407,0.2981116907310027,0.51476254895524165,0.04815393251209824,NA,NA,1.04049132844157,0.29811169073100285,1.976007458108457,0.04815393251209831,NA,NA,1,1,Sporadic_Hotspot
H1605,40515,17687,0,2.6926858121481314,1.6214700339483536e-8,0.7061182631114193,3.084171759294627e-13,NA,NA,5.6481888479236,1.6214700339483622e-8,7.290670082958673,3.084171759294627e-13,NA,NA,1,1,Sporadic_Hotspot
H1606,50688,21491,0,4.471061353200856,2.5228327967436166e-12,1.1406987233520514,2.3005742350987593e-14,NA,NA,7.002028201759572,2.5228327967436166e-12,7.632604730954554,2.300574235098775e-14,NA,NA,1,1,Sporadic_Hotspot
H1607,53913,88869,0,1.9378932928814547,0.004943706281206672,2.328761809540698,0.030696179612332203,NA,NA,2.8106791187027866,0.004943706281206679,2.1609891233150056,0.03069617961233216,NA,NA,-1,1,Sporadic_Hotspot
H1608,807,1013,0,-0.2284010635805416,0.18070393126888973,-0.25940625646402793,0.07674117570448312,NA,NA,1.3385907739423508,0.18070393126888973,1.769915755819567,0.076741175704483,NA,NA,1,1,Not_Significant
H1609,0,0,0,0.17077520189103015,0.3548175361964155,0.1312403111890101,0.4172888828283537,NA,NA,-0.9252852749300453,0.3548175361964156,-0.8111337207203317,0.41728888282835347,NA,NA,1,1,Not_Significant
H1610,0,0,0,0.17077520189103015,0.3548175361964155,0.1312403111890101,0.4172888828283537,NA,NA,-0.9252852749300453,0.3548175361964156,-0.8111337207203317,0.41728888282835347,NA,NA,1,1,Not_Significant
H1611,2137,3933,0,0.03767325339607955,0.7790509738595024,0.041044343051972784,0.6599633716699407,NA,NA,-0.28055599225192446,0.7790509738595023,-0.4399637370762909,0.6599633716699407,NA,NA,-1,1,Not_Significant
H1612,5448,12721,0,-0.0402334832258937,0.6226874345842313,0.0275217115844614,0.32871331999364645,NA,NA,0.4920451378533599,0.6226874345842311,0.976708834939554,0.32871331999364645,NA,NA,1,1,Not_Significant
H1613,31947,48698,0,0.43661275142644046,0.19930553019734112,0.6752937733906169,0.19820581529472722,NA,NA,1.2835326447996773,0.19930553019734124,1.2866800905109805,0.19820581529472722,NA,NA,1,1,Not_Significant
H1614,80045,51158,0,7.017367522618151,2.0819417976983616e-10,3.7514683589378386,1.985327394164552e-11,NA,NA,6.3551715236627,2.0819417976983616e-10,6.707098147587018,1.9853273941645882e-11,NA,NA,1,1,Sporadic_Hotspot
H1615,34427,17651,0,1.8828756400205915,7.161218932146284e-7,0.2990014179580599,0.0019136918953302233,NA,NA,4.956939701684589,7.161218932146317e-7,3.103309814990687,0.00191369189533022,NA,NA,-1,1,Sporadic_Hotspot
H1616,64595,140044,0,2.127218348832191,0.013250800649205566,2.399884205793338,0.1758244745554771,NA,NA,2.476956619224763,0.013250800649205587,1.3537239176733535,0.17582447455547717,NA,NA,-1,1,Sporadic_Hotspot
H1617,0,0,0,0.17077520189103015,0.6793326237830962,0.1312403111890101,0.717070740274607,NA,NA,-0.41337399579290984,0.6793326237830962,-0.36237644361289945,0.7170707402746069,NA,NA,1,1,Not_Significant
H1618,0,0,0,0.17077520189103015,0.3106492228753715,0.1312403111890101,0.37412041965515186,NA,NA,-1.0138607071981673,0.3106492228753717,-0.8887816871223535,0.3741204196551518,NA,NA,1,1,Not_Significant
H1619,0,0,0,0.16176992285417108,0.4331693094798877,0.1181479520293418,0.5137601585359741,NA,NA,-0.7837798325827864,0.4331693094798877,-0.6529939815248741,0.5137601585359741,NA,NA,1,1,Not_Significant
H1620,7046,6373,0,0.04613775048077906,0.41210491815276795,0.03426807285907702,0.5652444306294493,NA,NA,-0.8201950591718359,0.41210491815276784,-0.5750692985532725,0.5652444306294493,NA,NA,1,1,Not_Significant
H1621,2683,25667,0,-0.06344486521807621,0.6142480614717598,0.22551744091585696,0.27614096208414435,NA,NA,0.5040189486702159,0.61424806147176,1.0890293068986983,0.27614096208414424,NA,NA,1,1,Not_Significant
H1622,46481,21023,0,1.4327809962028657,0.012158397175103088,0.21081677607780858,0.14026463736453715,NA,NA,2.50751339916214,0.012158397175103107,1.4748062614362554,0.14026463736453712,NA,NA,-1,1,Sporadic_Hotspot
H1623,136561,118511,0,6.911719369676076,5.185165084803341e-4,1.7088017085291203,0.2482900240390228,NA,NA,3.471003879381665,5.185165084803351e-4,1.154512726445645,0.248290024039023,NA,NA,-1,1,Sporadic_Hotspot
H1624,70266,34835,0,3.397544821450143,3.432392188930798e-4,1.1571833215744451,5.278791692160683e-4,NA,NA,3.5802701034962428,3.432392188930803e-4,3.4661955631027843,5.278791692160676e-4,NA,NA,-1,1,Sporadic_Hotspot
H1625,0,0,0,-0.3066498986023145,0.13767748046707812,-0.36604514212852535,0.04322048047238011,NA,NA,1.484495634395251,0.13767748046707812,2.021573031578117,0.043220480472380064,NA,NA,1,1,Sporadic_Hotspot
H1626,0,0,0,0.17077520189103015,0.3548175361964155,0.1312403111890101,0.4172888828283537,NA,NA,-0.9252852749300453,0.3548175361964156,-0.8111337207203317,0.41728888282835347,NA,NA,1,1,Not_Significant
H1627,0,0,0,0.17077520189103015,0.4080177562909884,0.1312403111890101,0.46826000361036674,NA,NA,-0.8273869827863918,0.40801775629098863,-0.7253130466966894,0.46826000361036674,NA,NA,1,1,Not_Significant
H1628,0,0,0,0.14606416725918292,0.3858152879250822,0.11013938797381866,0.4556939226768717,NA,NA,-0.8672313033438037,0.385815287925082,-0.7459561196793038,0.45569392267687153,NA,NA,1,1,Not_Significant
H1629,2688,4778,0,0.06579186769182849,0.6004261941142788,-0.012113380081895664,0.8822830916441511,NA,NA,-0.523787721913899,0.6004261941142788,0.14807561758794796,0.8822830916441512,NA,NA,1,1,Not_Significant
H1630,26198,23202,0,0.17206624578416352,0.4888500999168886,0.1561239019336868,0.36686330072262135,NA,NA,0.6921389076196113,0.48885009991688894,0.9023644471345306,0.36686330072262135,NA,NA,1,1,Not_Significant
H1631,31285,20674,0,1.3490214379887238,4.310303088821469e-5,0.34143194949189576,0.013448488527650277,NA,NA,4.090184427952729,4.3103030888214855e-5,2.4716665652751986,0.013448488527650328,NA,NA,-1,1,Sporadic_Hotspot
H1632,43146,17598,0,2.3579089996004146,5.438410437765183e-6,0.22994365381690268,0.016175912744465743,NA,NA,4.547123439326204,5.438410437765159e-6,2.404922117369405,0.01617591274446576,NA,NA,-1,1,Sporadic_Hotspot
H1633,50283,20014,0,1.1599296545958901,0.06628602012848024,0.25313605779863485,0.04974461196744717,NA,NA,1.8364845832593488,0.06628602012848034,1.9621535329513413,0.049744611967447165,NA,NA,1,1,Sporadic_Hotspot
